flow,reno,dctcp,risk_ecn
long1,416.53927778108266,416.3148398778129,417.37619730854146
long2,416.53927778108266,416.3148398778129,417.37619730854146
s1,83.46072221891589,83.68516012218592,82.62380269145707
s2,83.46072221891589,83.68516012218592,82.62380269145707
s3,83.46072221891589,83.68516012218592,82.62380269145707
s4,83.46072221891589,83.68516012218592,82.62380269145707
s5,83.46072221891589,83.68516012218592,82.62380269145707
s6,83.46072221891589,83.68516012218592,82.62380269145707
s7,83.46072221891589,83.68516012218592,82.62380269145707
s8,83.46072221891589,83.68516012218592,82.62380269145707
s9,83.46072221891589,83.68516012218592,82.62380269145707
s10,83.46072221891589,83.68516012218592,82.62380269145707
